Date,Price,Action
2024-06-14,211.501,SELL
2024-06-17,215.661,SELL
2024-06-18,213.292,SELL
2024-06-20,208.704,SELL
2024-06-21,206.524,SELL
2024-06-24,207.171,SELL
2024-06-25,208.097,SELL
2024-06-26,212.257,SELL
2024-06-27,213.103,SELL
2024-06-28,209.64,SELL
2024-07-01,215.741,SELL
2024-07-02,219.245,SELL
2024-07-03,220.519,SELL
2024-07-05,225.286,SELL
2024-07-08,226.76,SELL
2024-07-09,227.616,SELL
2024-07-10,231.895,SELL
2024-07-11,226.511,SELL
2024-07-12,229.467,SELL
2024-07-15,233.309,SELL
2024-07-16,233.727,SELL
2024-07-17,227.815,SELL
2024-07-18,223.136,SELL
2024-07-19,223.266,SELL
2024-07-22,222.917,SELL
2024-07-23,223.963,SELL
2024-07-24,217.523,SELL
2024-07-25,216.478,SELL
2024-07-26,216.945,SELL
2024-07-29,217.224,SELL
2024-07-30,217.782,SELL
2024-07-31,221.046,SELL
2024-08-01,217.344,SELL
2024-08-02,218.837,SELL
2024-08-05,208.296,SELL
2024-08-06,206.265,SELL
2024-08-07,208.843,SELL
2024-08-08,212.317,SELL
2024-08-09,215.233,SELL
2024-08-12,216.768,SELL
2024-08-13,220.495,SELL
2024-08-14,220.943,SELL
2024-08-15,223.933,SELL
2024-08-16,225.258,SELL
2024-08-19,225.099,SELL
2024-08-20,225.717,SELL
2024-08-21,225.607,SELL
2024-08-22,223.744,SELL
2024-08-23,226.045,SELL
2024-08-26,226.384,SELL
2024-08-27,227.231,SELL
2024-08-28,225.697,SELL
2024-08-29,228.985,SELL
2024-08-30,228.198,SELL
2024-09-03,221.99,SELL
2024-09-04,220.076,SELL
2024-09-05,221.601,SELL
2024-09-06,220.047,SELL
2024-09-09,220.136,SELL
2024-09-10,219.339,SELL
2024-09-11,221.88,SELL
2024-09-12,221.99,SELL
2024-09-13,221.721,SELL
2024-09-16,215.562,SELL
2024-09-17,216.031,SELL
2024-09-18,219.917,SELL
2024-09-19,228.068,SELL
2024-09-20,227.401,SELL
2024-09-23,225.677,SELL
2024-09-24,226.574,SELL
2024-09-25,225.577,SELL
2024-09-26,226.723,SELL
2024-09-27,226.992,SELL
2024-09-30,232.184,SELL
2024-10-01,225.418,SELL
2024-10-02,225.986,SELL
2024-10-03,224.88,SELL
2024-10-04,226.006,SELL
2024-10-07,220.913,SELL
2024-10-08,224.979,SELL
2024-10-09,228.736,SELL
2024-10-10,228.238,SELL
2024-10-11,226.753,SELL
2024-10-14,230.49,SELL
2024-10-15,233.031,SELL
2024-10-16,230.968,SELL
2024-10-17,231.337,SELL
2024-10-18,234.177,SELL
2024-10-21,235.652,SELL
2024-10-22,235.034,SELL
2024-10-23,229.952,SELL
2024-10-24,229.762,SELL
2024-10-25,230.599,SELL
2024-10-28,232.582,SELL
2024-10-29,232.852,SELL
2024-10-30,229.294,SELL
2024-10-31,225.119,SELL
2024-11-01,222.129,SELL
2024-11-04,221.232,SELL
2024-11-05,222.667,SELL
2024-11-06,221.94,SELL
2024-11-07,226.683,SELL
2024-11-08,226.414,SELL
2024-11-11,223.69,SELL
2024-11-12,223.69,SELL
2024-11-13,224.578,SELL
2024-11-14,227.671,SELL
2024-11-15,224.459,SELL
2024-11-18,227.471,SELL
2024-11-19,227.731,SELL
2024-11-20,228.449,SELL
2024-11-21,227.97,SELL
2024-11-22,229.317,SELL
2024-11-25,232.31,SELL
2024-11-26,234.494,SELL
2024-11-27,234.365,SELL
2024-11-29,236.759,SELL
2024-12-02,239.013,SELL
2024-12-03,242.066,SELL
2024-12-04,242.425,SELL
2024-12-05,242.455,SELL
2024-12-06,242.256,SELL
2024-12-09,246.156,SELL
2024-12-10,247.174,SELL
2024-12-11,245.897,SELL
2024-12-12,247.363,SELL
2024-12-13,247.533,SELL
2024-12-16,250.436,SELL
2024-12-17,252.87,SELL
2024-12-18,247.453,SELL
